CAT,CNT,POS,NAME,CRD,ANNOUNCED2,RUNS2,4S2,6S1,6S2,S/R1,S/R2,BALLS FACED1,30/50/100_1,30/50/100_2,DUCK1,DUCK2,OVERS BOWLED1,WICK1,WICK2,LBW/BOW BONUS1,LBW/BOW BONUS2,2/3/4/5 WICK BONUS1,2/3/4/5 WICK BONUS2,MAIDEN OVER1,MAIDEN OVER2,E/R1,E/R2,CATCH1,CATCH2,CATCH BONUS1,CATCH BONUS2,RUNOUT/STUMPING1,RUNOUT/STUMPING2,TOTAL,OPPOSITE TEAM,DT
BW,DC,10,KYD,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,0,0,3,4,0,0,4.5,6,0,0,0,0,0,0,89,MI,1
AR,DC,5,LYD,8.5,4,48,4,2,4,126.32,0,38,30+,4,0,0,2,0,0,0,0,0,0,0,0,7.5,0,1,8,0,0,0,0,72,MI,1
BT,DC,1,PSW,9,4,38,4,2,4,158.33,4,24,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,66,MI,1
AR,DC,8,APL,9,4,38,2,3,6,223.53,6,17,30+,4,0,0,4,0,0,0,0,0,0,0,0,10,-2,0,0,0,0,0,0,58,MI,1
BW,DC,11,KAD,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,0,0,2,0,0,0,6.75,2,0,0,0,0,0,0,56,MI,1
WK,DC,2,TSF,8,4,21,4,0,0,150,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,39,MI,1
BW,DC,7,STK,9,4,22,4,0,0,200,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,11.75,-4,0,0,0,0,0,0,26,MI,0
BT,DC,3,MSH,8.5,4,0,0,0,0,0,0,2,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,10,MI,0
BT,DC,6,RPW,9,4,0,0,0,0,0,0,2,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,10,MI,0
WK,DC,4,RPT,10,4,1,0,0,0,50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MI,0
BW,DC,9,KNK,8,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14.6,-6,0,0,0,0,0,0,-2,MI,0
WK,MI,2,ISK,9.5,4,81,11,2,4,168.75,4,48,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,120,DC,1
BW,MI,11,BTM,8,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,0,0,3,4,0,0,8.75,0,0,0,0,0,0,0,83,DC,1
BW,MI,8,MAS,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,8,2,0,0,0,3.5,6,0,0,0,0,0,0,68,DC,1
BT,MI,1,RSM,10.5,4,41,4,2,4,128.13,0,32,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,65,DC,1
BT,MI,4,TVM,8,4,22,3,0,0,146.67,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,39,DC,1
BW,MI,10,TML,8.5,4,0,0,0,0,0,0,0,0,0,0,0,3,1,25,0,0,1,0,0,0,8.67,0,0,0,0,0,0,0,29,DC,0
BT,MI,6,TDD,8.5,4,12,0,1,2,150,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,26,DC,0
AR,MI,7,DSM,8.5,4,7,0,1,2,350,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,14.25,-6,1,8,0,0,0,0,15,DC,0
BT,MI,3,ASH,8,4,8,0,0,0,88.89,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,DC,0
AR,MI,5,KPD,9,4,3,0,0,0,50,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,DC,0
BW,MI,9,JBR,9.5,4,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,12.9,-6,0,0,0,0,0,0,-2,DC,0
BT,BLR,1,FDP,10,4,88,3,7,14,154.39,4,57,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,PBKS,1
BT,BLR,3,VKL,10.5,4,41,1,2,4,141.38,2,29,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,PBKS,1
BW,BLR,10,MSJ,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,8,2,0,0,0,14.75,-6,0,0,0,0,0,0,56,PBKS,1
WK,BLR,4,DKR,8.5,4,32,3,3,6,228.57,6,14,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,PBKS,1
WK,BLR,2,ART,8,4,21,2,1,2,105,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,45,PBKS,1
